gene,cell
A2M,Endothelial Cells
AAK1,GABAergic Neurons
AATK,Oligodendrocytes
AATK1,Oligodendrocytes
ABAT,GABAergic Neurons
ABCA2,Oligodendrocytes
ABCA21,Oligodendrocytes
ABCB1,Endothelial Cells
ABCG2,Endothelial Cells
ABHD2,Oligodendrocyte Precursor Cells
ABLIM1,Astrocytes
ABLIM11,Astrocytes
ABLIM12,Endothelial Cells
AC007246.3,Pyramidal Neurons
AC011526.1,Endothelial Cells
AC079354.1,Neuronal Stem Cells
ACADVL,Astrocytes
ACAP3,Pyramidal Neurons
ACAP31,Granule Neurons
ACOT11,Astrocytes
ACOT111,Astrocytes
ACOT112,Neuronal Stem Cells
ACSL6,GABAergic Neurons
ACSL61,Astrocytes
ACSL62,Astrocytes
ACSS1,Astrocytes
ACSS11,Astrocytes
ACTB1,Neuronal Stem Cells
ACTB2,Endothelial Cells
ACTG1,Neuronal Stem Cells
ACTG11,Endothelial Cells
ACTN1,Endothelial Cells
ACTN4,Endothelial Cells
ACTR2,Excitatory Neurons
ACVRL1,Endothelial Cells
ADAM11,Pyramidal Neurons
ADAM22,Granule Neurons
ADAM28,Microglia
ADD1,Endothelial Cells
ADD31,Astrocytes
ADD32,Astrocytes
ADGB,Neuronal Stem Cells
ADIPOR2,Endothelial Cells
ADIRF,Endothelial Cells
AEBP1,Astrocytes
AGBL2,Neuronal Stem Cells
AGT,Astrocytes
AGT1,Neuronal Stem Cells
AHCYL1,Astrocytes
AHCYL11,Astrocytes
AHI1,Pyramidal Neurons
AHI11,Pyramidal Neurons
AHI12,GABAergic Neurons
AHI13,GABAergic Neurons
AHNAK,Astrocytes
AHNAK1,Endothelial Cells
AIF1,Microglia
AIF1L,Endothelial Cells
AK1,Neuronal Stem Cells
AK7,Neuronal Stem Cells
AK9,Neuronal Stem Cells
AKAP12,Endothelial Cells
AKAP8L,Pyramidal Neurons
AKAP9,Oligodendrocytes
AKAP91,Neuronal Stem Cells
ALCAM,Oligodendrocytes
ALCAM1,Oligodendrocytes
ALCAM2,Oligodendrocyte Precursor Cells
AMER2,Oligodendrocytes
AMER21,Oligodendrocytes
ANAPC51,Oligodendrocytes
ANGPT2,Endothelial Cells
ANK3,Granule Neurons
ANKRD11,Pyramidal Neurons
ANKRD111,Pyramidal Neurons
ANKRD112,Granule Neurons
ANKRD12,GABAergic Neurons
ANKRD122,Oligodendrocytes
ANKRD26,GABAergic Neurons
ANKRD261,GABAergic Neurons
ANKRD265,Neuronal Stem Cells
ANKRD32,Pyramidal Neurons
ANKRD321,Pyramidal Neurons
ANKRD36,GABAergic Neurons
ANKRD36C,Oligodendrocytes
ANKS1B,Pyramidal Neurons
ANKS1B1,Granule Neurons
ANLN,Oligodendrocytes
ANO10,Excitatory Neurons
ANP32B,Endothelial Cells
ANPEP,Pericyte
ANPEP,Pericyte
ANXA1,Neuronal Stem Cells
ANXA11,Granule Neurons
ANXA3,Endothelial Cells
ANXA5,Endothelial Cells
AP1G2,Pyramidal Neurons
AP1S2,GABAergic Neurons
AP3S1,Excitatory Neurons
APBB1IP,Microglia
APC,Astrocytes
APC1,Astrocytes
APLP14,Oligodendrocytes
APLP15,Oligodendrocytes
APLP2,GABAergic Neurons
APOC1,Microglia
APOD,Oligodendrocytes
APOD1,Oligodendrocyte Precursor Cells
APOD2,Endothelial Cells
APOE,Microglia
APOE1,Astrocytes
APOLD1,Endothelial Cells
APP,GABAergic Neurons
AQP4,Astrocytes
AQP41,Astrocytes
AQP42,Neuronal Stem Cells
ARAP2,Oligodendrocytes
ARAP21,Oligodendrocytes
